date,account,libelle,classe,type,Debit,Credit,montant_final,nom_compte
2022-04-01,611200106000,,6,charge,6263134.52,0.0,6263134.52,611200106000
2022-12-01,611200106000,,6,charge,13199163.65,19462298.17,-6263134.520000001,611200106000
2023-11-01,611200106000,,6,charge,70736609.32,0.0,70736609.32,611200106000
2023-12-01,611200106000,,6,charge,0.0,70736609.32,-70736609.32,611200106000
2024-06-01,611200106000,,6,charge,3342770.21,471508.73,2871261.48,611200106000
2024-12-01,611200106000,,6,charge,0.0,2871261.48,-2871261.48,611200106000
2022-12-01,611200107000,,6,charge,223200.0,223200.0,0.0,611200107000
2022-01-01,611200108000,,6,charge,184000.0,0.0,184000.0,611200108000
2022-04-01,611200108000,,6,charge,533600.0,0.0,533600.0,611200108000
2022-06-01,611200108000,,6,charge,364000.0,0.0,364000.0,611200108000
2022-12-01,611200108000,,6,charge,1091800.0,2173400.0,-1081600.0,611200108000
2023-12-01,611200108000,,6,charge,2037168.0,2037168.0,0.0,611200108000
2024-12-01,611200108000,,6,charge,604800.0,604800.0,0.0,611200108000
2022-12-01,611400102000,,6,charge,25192.56,25192.56,0.0,611400102000
2024-01-01,611400102000,,6,charge,283942.44,0.0,283942.44,611400102000
2024-12-01,611400102000,,6,charge,2659893.17,2943835.61,-283942.43999999994,611400102000
2025-01-01,611400102000,,6,charge,2943835.61,0.0,2943835.61,611400102000
2022-12-01,611400103000,,6,charge,57231.63,57231.63,0.0,611400103000
2023-12-01,611400103000,,6,charge,925447.0,925447.0,0.0,611400103000
2024-01-01,611400103000,,6,charge,2265290.37,0.0,2265290.37,611400103000
2024-12-01,611400103000,,6,charge,0.0,2265290.37,-2265290.37,611400103000
2025-01-01,611400103000,,6,charge,1272289.16,0.0,1272289.16,611400103000
2025-12-01,611400103000,,6,charge,0.0,1337362.16,-1337362.16,611400103000
2022-12-01,611400104000,,6,charge,627980.57,627980.57,0.0,611400104000
2023-12-01,611400104000,,6,charge,38036.83,38036.83,0.0,611400104000
2022-01-01,612100102000,,6,charge,2129533.05,112711.76000000001,2016821.2899999998,612100102000
2022-02-01,612100102000,,6,charge,1376205.98,38487.04,1337718.94,612100102000
